Station_Code,Year,Month,AirTemp
400,2013,3,2.6
400,2013,5,20.0
400,2013,6,27.1
400,2013,9,24.4
400,2013,10,18.4
400,2013,12,-0.8
401,2013,3,2.1
401,2013,5,19.6
401,2013,6,26.9
401,2013,9,25.4
401,2013,10,18.5
401,2013,12,-0.9
402,2013,3,2.5
402,2013,5,19.7
402,2013,6,27.8
402,2013,9,24.7
402,2013,10,18.3
402,2013,12,-2.5
403,2013,3,2.3
403,2013,5,19.6
403,2013,6,27.0
403,2013,9,25.2
403,2013,10,18.7
403,2013,12,-0.8
404,2013,3,2.6
404,2013,5,18.4
404,2013,6,28.1
404,2013,9,26.2
404,2013,10,19.1
404,2013,12,-2.5
405,2013,3,2.7
405,2013,5,20.2
405,2013,6,29.3
405,2013,9,27.6
405,2013,10,19.3
405,2013,12,-0.9
406,2013,3,2.5
406,2013,5,20.4
406,2013,6,27.7
406,2013,9,25.1
406,2013,10,17.6
406,2013,12,-2.3
407,2013,3,2.2
407,2013,5,20.2
407,2013,6,27.2
407,2013,9,24.9
407,2013,10,18.2
407,2013,12,-2.8
408,2013,3,2.9
408,2013,5,19.7
408,2013,6,27.9
408,2013,9,25.7
408,2013,10,18.2
408,2013,12,-2.0
409,2013,3,4.0
409,2013,5,20.5
409,2013,6,27.6
409,2013,9,25.7
409,2013,10,18.4
409,2013,12,-2.4
410,2013,3,2.9
410,2013,5,20.1
410,2013,6,29.4
410,2013,9,26.4
410,2013,10,18.7
410,2013,12,-0.7
411,2013,3,4.3
411,2013,5,19.8
411,2013,6,27.4
411,2013,9,25.7
411,2013,10,18.5
411,2013,12,-2.8
412,2013,3,2.6
412,2013,5,21.0
412,2013,6,29.0
412,2013,9,26.4
412,2013,10,19.0
412,2013,12,-2.0
413,2013,3,3.2
413,2013,5,20.2
413,2013,6,28.2
413,2013,9,26.0
413,2013,10,18.3
413,2013,12,-1.8
414,2013,3,2.5
414,2013,5,19.5
414,2013,6,27.3
414,2013,9,26.2
414,2013,10,17.7
414,2013,12,-2.3
415,2013,3,2.5
415,2013,5,19.5
415,2013,6,27.9
415,2013,9,27.2
415,2013,10,19.1
415,2013,12,-1.1
416,2013,3,2.9
416,2013,5,19.1
416,2013,6,27.8
416,2013,9,26.3
416,2013,10,19.0
416,2013,12,-0.8
417,2013,3,2.3
417,2013,5,19.6
417,2013,6,28.5
417,2013,9,25.8
417,2013,10,17.9
417,2013,12,-2.0
418,2013,3,2.5
418,2013,5,18.7
418,2013,6,28.2
418,2013,9,25.9
418,2013,10,18.2
418,2013,12,-1.8
419,2013,3,1.4
419,2013,5,20.0
419,2013,6,26.9
419,2013,9,25.3
419,2013,10,16.8
419,2013,12,-2.1
421,2013,3,2.8
421,2013,5,20.3
421,2013,6,27.7
421,2013,9,25.3
421,2013,10,18.0
421,2013,12,-1.2
422,2013,3,0.5
422,2013,5,17.9
422,2013,6,24.9
422,2013,9,23.7
422,2013,10,15.2
422,2013,12,-4.1
423,2013,3,2.5
423,2013,5,19.0
423,2013,6,28.2
423,2013,9,25.3
423,2013,10,17.7
423,2013,12,-2.4
424,2013,3,2.6
424,2013,5,20.4
424,2013,6,27.7
424,2013,9,26.4
424,2013,10,21.7
424,2013,12,-2.5
425,2013,3,2.2
425,2013,5,19.7
425,2013,6,27.7
425,2013,9,25.8
425,2013,10,17.1
425,2013,12,-1.6
509,2013,3,2.5
509,2013,5,19.0
509,2013,6,27.7
509,2013,9,25.3
509,2013,10,18.0
509,2013,12,-1.3
510,2013,3,2.4
510,2013,5,19.2
510,2013,6,28.4
510,2013,9,26.7
510,2013,10,18.6
510,2013,12,-0.8
889,2013,3,3.2
889,2013,5,19.5
889,2013,6,28.4
889,2013,9,26.1
889,2013,10,18.8
889,2013,12,-0.7
400,2015,1,-0.4
400,2015,3,4.0
400,2015,5,19.3
400,2015,6,25.2
400,2015,7,26.1
400,2015,9,23.4
400,2015,10,21.1
400,2015,12,-4.1
401,2015,1,0.0
401,2015,3,4.3
401,2015,5,20.7
401,2015,6,27.2
401,2015,7,27.0
401,2015,9,24.5
401,2015,10,21.5
401,2015,12,-4.0
402,2015,1,-1.9
402,2015,3,3.4
402,2015,5,20.8
402,2015,6,26.8
402,2015,7,25.7
402,2015,9,24.0
402,2015,10,21.2
402,2015,12,-3.9
403,2015,1,-0.5
403,2015,3,3.8
403,2015,5,19.9
403,2015,6,25.8
403,2015,7,23.7
403,2015,9,24.7
403,2015,10,21.1
403,2015,12,-4.1
404,2015,1,-0.5
404,2015,3,4.2
404,2015,5,19.3
404,2015,6,25.4
404,2015,7,25.4
404,2015,9,24.4
404,2015,10,21.1
404,2015,12,-5.5
405,2015,1,0.0
405,2015,3,5.1
405,2015,5,20.4
405,2015,6,26.9
405,2015,7,26.3
405,2015,9,25.3
405,2015,10,21.8
405,2015,12,-4.6
406,2015,1,-2.1
406,2015,3,3.2
406,2015,5,20.3
406,2015,6,23.8
406,2015,7,26.0
406,2015,9,24.7
406,2015,10,20.8
406,2015,12,-5.3
407,2015,1,-1.6
407,2015,3,3.6
407,2015,5,20.1
407,2015,6,25.9
407,2015,7,25.5
407,2015,9,23.7
407,2015,10,20.9
407,2015,12,-4.1
408,2015,1,-1.6
408,2015,3,3.9
408,2015,5,19.7
408,2015,6,25.7
408,2015,7,25.0
408,2015,9,23.9
408,2015,10,20.4
408,2015,12,-4.2
409,2015,1,-1.6
409,2015,3,3.8
409,2015,5,20.5
409,2015,6,25.6
409,2015,7,25.8
409,2015,9,24.4
409,2015,10,20.3
409,2015,12,-4.7
410,2015,1,0.4
410,2015,3,5.6
410,2015,5,20.1
410,2015,6,26.7
410,2015,7,27.6
410,2015,9,24.7
410,2015,10,21.2
410,2015,12,-4.7
411,2015,1,-0.6
411,2015,3,4.2
411,2015,5,20.2
