Year,Month,Station_Code,Station_Name,Latitude,Longitude,NDVI
2016,1,400,강남,37.4982,127.08162,0.10975557
2016,1,401,서초,37.48462,127.02601,0.09098301
2016,1,402,강동,37.55556,127.14498,0.063667595
2016,1,403,송파,37.51151,127.0967,0.025741186
2016,1,404,강서,37.5739,126.82953,0.0856686
2016,1,405,양천,37.52823,126.87937,0.07776822
2016,1,406,도봉,37.66557,127.03042,0.100366846
2016,1,407,노원,37.62186,127.09192,0.078440264
2016,1,408,동대문,37.58463,127.06036,0.06897235
2016,1,409,중랑,37.58551,127.08682,0.020097274
2016,1,410,기상청,37.4933,126.91746,0.049024533
2016,1,411,마포,37.55165,126.92915,0.08504312
2016,1,412,서대문,37.57047,126.94078,0.13714467
2016,1,413,광진,37.53344,127.08601,0.08268388
2016,1,414,성북,37.61134,126.99981,0.061871804
2016,1,415,용산,37.51955,126.97629,0.0712973
2016,1,416,은평,37.64647,126.94273,0.07962607
2016,1,417,금천,37.46551,126.90016,0.102493845
2016,1,418,한강,37.52489,126.93904,0.042946465
2016,1,419,중구,37.55236,126.98736,-0.0014085242
2016,1,421,성동,37.54721,127.03885,0.031958614
2016,1,422,북악산,37.60344,126.98437,0.062321756
2016,1,423,구로,37.49328,126.82629,0.066329114
2016,1,424,강북,37.63801,127.00981,0.049293954
2016,1,425,남현,37.46347,126.98154,0.11393311
2016,1,509,관악,37.45284,126.95015,0.07680048
2016,1,510,영등포,37.52706,126.90705,0.09978242
2016,1,889,현충원,37.50036,126.97652,0.09008931
2014,3,400,강남,37.4982,127.08162,0.08901223
2014,3,401,서초,37.48462,127.02601,0.086052634
2014,3,402,강동,37.55556,127.14498,0.07261312
2014,3,403,송파,37.51151,127.0967,0.052363697
2014,3,404,강서,37.5739,126.82953,0.05640295
2014,3,405,양천,37.52823,126.87937,0.06346762
2014,3,406,도봉,37.66557,127.03042,0.08795914
2014,3,407,노원,37.62186,127.09192,0.08363924
2014,3,408,동대문,37.58463,127.06036,0.050326936
2014,3,409,중랑,37.58551,127.08682,0.03975124
2014,3,410,기상청,37.4933,126.91746,0.05811716
2014,3,411,마포,37.55165,126.92915,0.08172741
2014,3,412,서대문,37.57047,126.94078,0.101672895
